name	b_date	b_month	b_year	sun_sign	b_country	job
Melanie Griffith	9	August	1957	Leo	United States	actress
Elisha Cuthbert	30	November	1982	Sagittarius	Canada	actress
Lea Michele	29	August	1986	Virgo	United States	actress
Ashley Judd	19	April	1968	Aries	United States	actress,_political_activist
Joan Fontaine	22	October	1917	Libra	Japan	actress
Maggie Q	22	May	1979	Gemini	United States	actress
Lisa Bonet	16	November	1967	Scorpio	United States	american_actress
Lana Turner	8	February	1921	Aquarius	United States	actress
Sofia Boutella	3	April	1982	Aries	Algeria	actress
Alicia Vikander	3	October	1988	Libra	Sweden	actress
Vanna White	18	February	1957	Aquarius	United States	televion_personality
Taissa Farmiga	7	August	1994	Leo	United States	actress
Anushka Sharma	1	May	1988	Taurus	India	actress
Teresa Palmer	26	February	1986	Pisces	Australia	actress
Yvonne Strahovski	30	July	1982	Leo	Australia	actress
Lauren Cohan	7	January	1982	Capricorn	United States	actress
Christina Ricci	12	February	1980	Aquarius	United States	actress
Kerry Washington	31	January	1977	Aquarius	United States	actress
Jennifer Jason Leigh	5	February	1962	Aquarius	U.S.	actress
Emily Deschanel	11	October	1976	Libra	United States	actress
Rooney Mara	17	April	1985	Aries	United States	actress
Tracee Ellis Ross	29	October	1972	Scorpio	United States	actress
Willow Smith	31	October	2000	Scorpio	United States	singer
Emily VanCamp	12	May	1986	Taurus	Canada	actress
Ginger Rogers	16	July	1911	Cancer	United States	actress,_dancer
Brooke Shields	31	May	1965	Gemini	United States	actress
Hilarie Burton	1	July	1982	Cancer	United States	actress
Yvonne De Carlo	1	September	1922	Virgo	Canada	actress
Taylor Momsen	26	July	1993	Leo	United States	singer-songwriter
June Carter Cash	23	June	1929	Cancer	United States	singer-songwriter
Gina Rodriguez	30	July	1984	Leo	United States	actress
Kelly Preston	13	October	1962	Libra	United States	actress
Britt Robertson	18	April	1990	Aries	United States	actress
Camila Mendes	29	June	1994	Cancer	United States	actress,_singer
Elle Fanning	9	April	1998	Aries	United States	actress
Lucy Hale	14	June	1989	Gemini	United States	actress
Phoebe Cates	16	July	1963	Cancer	United States	actress
Rachel Brosnahan	12	July	1990	Cancer	United States	actress
Elizabeth Hurley	10	June	1965	Gemini	England	actress
Joey King	30	July	1999	Leo	United States	actress
Natasha Richardson	11	May	1963	Taurus	England	actress
Carole Lombard	6	October	1908	Libra	U.S.	actress
Geena Davis	21	January	1956	Aquarius	United States	actress
Raquel Welch	5	September	1940	Virgo	United States	actress
Ashley Tisdale	2	July	1985	Cancer	U.S	actress
Olga Kurylenko	14	November	1979	Scorpio	Ukraine	actress
Selma Blair	23	June	1972	Cancer	United States	actress
Maggie Gyllenhaal	16	November	1977	Scorpio	United States	actress
Kristen Wiig	22	August	1973	Leo	United States	actress
Heather Locklear	25	September	1961	Libra	United States	actress
Andie MacDowell	21	April	1958	Taurus	United States	actress
Kyra Sedgwick	19	August	1965	Leo	United States	actress
Lauren Bacall	16	September	1924	Virgo	United States	actress
Mimi Rogers	27	January	1956	Aquarius	United States	actress
Kiernan Shipka	10	November	1999	Scorpio	United States	voice_actress
Zsa Zsa Gabor	6	February	1917	Aquarius	Hungary	socialite,_actress
Emmy Rossum	12	September	1986	Virgo	United States	actress
Lena Horne	30	June	1917	Cancer	United States	singer,_dancer,_actress
Ashley Benson	18	December	1989	Sagittarius	United States	actress
Sarah Jessica Parker	25	March	1965	Aries	United States	actress
Anya Taylor-Joy	26	April	1996	Taurus	United States	actress
Lily Tomlin	1	September	1939	Virgo	United States	comedienne_&amp;_actress
Troian Bellisario	28	October	1985	Scorpio	United States	actress
Rosario Dawson	9	May	1979	Taurus	United States	actress
Isabela Moner	10	July	2001	Cancer	United States	actress
Annette Bening	29	May	1958	Gemini	United States	actress
Bella Thorne	8	October	1997	Libra	United States	actress,_singer
Dorothy Dandridge	9	November	1922	Scorpio	U.S.	actress
Jennette McCurdy	26	June	1992	Cancer	United States	actress_&amp;_singer
Leighton Meester	9	April	1986	Aries	United States	actress
Lauren London	5	December	1984	Sagittarius	United States	actress
Sophia Bush	8	July	1982	Cancer	United States	actress
Pauley Perrette	27	March	1969	Aries	United States	television_actress,_activist,_singer
Minnie Driver	31	January	1970	Aquarius	United Kingdom	actress
Ginnifer Goodwin	22	May	1978	Gemini	United States	actress
Lily-Rose Depp	7	May	1999	Taurus	France	actress
Priyanka Chopra	18	July	1982	Cancer	India	actress
Katharine Ross	29	January	1940	Aquarius	United States	actress
January Jones	5	January	1978	Capricorn	U.S.	actress,_model
Rosie Huntington-Whiteley	18	April	1987	Aries	England	model,_actress
Pamela Anderson	1	July	1967	Cancer	Canada	american-canadian_actress
Kristin Kreuk	30	December	1982	Capricorn	Canada	actress
Jodie Sweetin	19	January	1982	Capricorn	United States	actress
Alice Eve	6	February	1982	Aquarius	England	actress
Jane Wyman	5	January	1917	Capricorn	United States	actress,_singer
Eliza Dushku	30	December	1980	Capricorn	United States	actress
Alyssa Milano	19	December	1972	Sagittarius	United States	actress
Jennifer Morrison	12	April	1979	Aries	United States	actress
Elizabeth Montgomery	15	April	1933	Aries	United States	actress
Daryl Hannah	3	December	1960	Sagittarius	United States	actress
Eiza González	30	January	1990	Aquarius	Mexico	actress
Christine Taylor	30	July	1971	Leo	U.S	actress
Julie Bowen	3	March	1970	Pisces	United States	actress
Valerie Bertinelli	23	April	1960	Taurus	United States	actress
Cindy Crawford	20	February	1966	Pisces	United States	model
Jennifer Carpenter	7	December	1979	Sagittarius	United States	actress
Maya Rudolph	27	July	1972	Leo	United States	actress
Malin Akerman	12	May	1978	Taurus	Sweden	actress
Lauren German	29	November	1978	Sagittarius	United States	actress
Katheryn Winnick	17	December	1977	Sagittarius	Canada	actress
Fran Drescher	30	October	1957	Scorpio	United States	actress,_comedian
Cicely Tyson	18	December	1924	Sagittarius	United States	actress
Brenda Song	27	March	1988	Aries	United States	actress
Bailee Madison	15	October	1999	Libra	U.S.	t.v._actress
Gina Carano	16	April	1982	Aries	United States	mixed_martial_artist
Gillian Jacobs	19	October	1982	Libra	United States	actress
Sarah Shahi	10	January	1980	Capricorn	United States	actress
Jane Seymour	15	May	1951	Taurus	England	actress
Jameela Jamil	25	February	1986	Pisces	England	actress
Billie Lourd	17	July	1992	Cancer	United States	actress
Sarah Silverman	1	December	1970	Sagittarius	United States	comedian,_actress
Brittany Snow	9	May	1986	Taurus	U.S.	actress
Beverly D’Angelo	15	November	1951	Scorpio	United States	actress
Minka Kelly	24	June	1980	Cancer	United States	actress
Billie Piper	22	September	1982	Virgo	England	actress
Jessica Simpson	10	July	1980	Cancer	United States	singer
Peyton List	6	April	1998	Aries	United States	actress
Evita Peron	7	May	1919	Taurus	Argentina	actress
Amanda Bynes	3	April	1986	Aries	United States	actress
Tiffani Thiessen	23	January	1974	Aquarius	United States	actress
Ellie Kemper	2	May	1980	Taurus	United States	actress
Katey Sagal	19	January	1954	Capricorn	United States	actress
Jennifer Coolidge	28	August	1961	Virgo	United States	actress
Jennifer Grey	26	March	1960	Aries	United States	actress
Charlotte Riley	29	December	1981	Capricorn	England	actress
Melissa Gilbert	8	May	1964	Taurus	United States	actress
Candace Cameron Bure	6	April	1976	Aries	United States	actress
Tiffany Haddish	3	December	1979	Sagittarius	United States	actress,_stand-up_comedian
America Ferrera	18	April	1984	Aries	United States	actress
Connie Nielsen	3	July	1965	Cancer	Denmark	actress
Idina Menzel	30	May	1971	Gemini	United States	actress
Kelly Macdonald	23	February	1976	Pisces	Scotland	actress
Helen McCrory	17	August	1968	Leo	England	actress
AnnaSophia Robb	8	December	1993	Sagittarius	United States	actress
Ann-Margret	28	April	1941	Taurus	Sweden	actress
Danielle Panabaker	19	September	1987	Virgo	Georgia	actress
Molly Ringwald	18	February	1968	Aquarius	United States	actress
Keke Palmer	26	August	1993	Virgo	United States	actress
Park Shin-hye	18	February	1990	Aquarius	South Korea	actress
Megan Mullally	12	November	1958	Scorpio	United States	actress
Ariel Winter	28	January	1998	Aquarius	United States	actress
Rebel Wilson	2	March	1980	Pisces	Australia	actress
Isabella Rossellini	18	June	1952	Gemini	Italy	actress
Kate Walsh	13	October	1967	Libra	United States	actress
Traci Lords	7	May	1968	Taurus	United States	actress
Nancy Sinatra	8	June	1940	Gemini	U.S.	singer
Brigitte Bardot	28	September	1934	Libra	France	actress,_activist
Kylie Minogue	28	May	1968	Gemini	Australia	singer-songwriter
Estelle Getty	25	July	1923	Leo	United States	actress
Abigail Spencer	4	August	1981	Leo	United States	actress
Chloe Bennet	11	April	1992	Aries	United States	actress,_singer
Toni Collette	1	November	1972	Scorpio	Australia	actress
Amandla Stenberg	23	October	1998	Libra	United States	actress
Miranda Kerr	20	April	1983	Taurus	Australia	model
Emily Osment	10	March	1992	Pisces	U.S.	actress,_singer,_and_songwriter
Kristin Chenoweth	24	July	1968	Leo	United States	actress
Amanda Holden	16	February	1971	Aquarius	England	actress
Alyson Hannigan	24	March	1974	Aries	United States	actress
Lana Condor	11	May	1997	Taurus	Vietnam	actress
Lynda Carter	24	July	1951	Leo	United States	actress
Joan Collins	23	May	1933	Gemini	United Kingdom	actress
Piper Perabo	31	October	1976	Scorpio	United States	actress
Maria Bello	18	April	1967	Aries	United States	actress
McKenna Grace	25	June	2006	Cancer	United States	actress
Tyra Banks	4	December	1973	Sagittarius	United States	television_personality
Courtney Love	9	July	1964	Cancer	United States	singer
Margaret Qualley	23	October	1994	Libra	United States	american_actress
Nicola Peltz	9	January	1995	Capricorn	United States	actress
Cristin Milioti	16	August	1985	Leo	America	actress_and_singer
Chelsea Peretti	20	February	1978	Pisces	United States	actress
Sasha Alexander	17	May	1973	Taurus	United States	actress
Danica McKellar	3	January	1975	Capricorn	United States	actress
Shelley Winters	18	August	1920	Leo	United States	actress
Yara Shahidi	31	January	2000	Aquarius	United States	actress,_model
Denise Richards	17	February	1971	Aquarius	United States	actress
Jennifer Beals	19	December	1963	Sagittarius	United States	actress
Leslie Mann	26	March	1972	Aries	United States	actress
Peggy Lipton	30	August	1946	Virgo	United States	actress
Priscilla Presley	24	May	1945	Gemini	United States	film_actress
Jane Krakowski	11	October	1968	Libra	United States	actress,_singer
Michelle Yeoh	6	August	1962	Leo	Malaysia	actress
Jayne Mansfield	19	April	1933	Aries	United States	actress
Zazie Beetz	25	May	1991	Gemini	Germany	actress
Anne Heche	25	May	1969	Gemini	United States	actress
Emily Browning	7	December	1988	Sagittarius	Australia	actress
Adrianne Palicki	6	May	1983	Taurus	United States	actress
Neve Campbell	3	October	1973	Libra	Canada	actress
Teri Hatcher	8	December	1964	Sagittarius	United States	actress
Cote de Pablo	12	November	1979	Scorpio	Chile	actress
Missy Peregrym	16	June	1982	Gemini	Canada	actress,_model
Vanessa Paradis	22	December	1972	Capricorn	France	singer
Pom Klementieff	3	May	1986	Taurus	Canada	actress
Liza Minnelli	12	March	1946	Pisces	United States	actress,_singer
Jaime Pressly	30	July	1977	Leo	United States	actress,_model
Heather Graham	29	January	1970	Aquarius	United States	actress
Rene Russo	17	February	1954	Aquarius	United States	actress
Chyler Leigh	10	April	1982	Aries	United States	actress
Sofia Coppola	14	May	1971	Taurus	United States	director
Dianna Agron	30	April	1986	Taurus	Georgia	actress
Phoebe Waller-Bridge	14	July	1985	Cancer	United Kingdom	actress
Nia Long	30	October	1970	Scorpio	United States	actress
Patricia Arquette	8	April	1968	Aries	United States	actress
Angie Harmon	10	August	1972	Leo	United States	actress,_model
Riley Keough	29	May	1989	Gemini	United States	actress
Juliette Lewis	21	June	1973	Gemini	United States	actress,_musician
Jamie Chung	10	April	1983	Aries	United States	actress
Gina Torres	25	April	1969	Taurus	United States	actress
Italia Ricci	29	October	1986	Scorpio	Canada	actress
Stana Katic	26	April	1978	Taurus	Canada	actor
Mackenzie Davis	1	April	1987	Aries	Canada	actress,_producer
Naomie Harris	6	September	1976	Virgo	England	actress
Evanna Lynch	16	August	1991	Leo	Ireland	actress
Bae Suzy	10	December	1994	Sagittarius	South Korea	singer,_actress
Anne Bancroft	17	September	1931	Virgo	U.S.	actress
Katie McGrath	21	February	1983	Pisces	Ireland	actress
Maureen O’Hara	17	August	1920	Leo	Ireland	actress
Imogen Poots	3	June	1989	Gemini	England	actress
Meagan Good	8	August	1981	Leo	United States	actress
Stephanie Beatriz	10	February	1981	Aquarius	Argentina	actress
Rue McClanahan	21	February	1934	Pisces	United States	actress
Elisabeth Moss	24	July	1982	Leo	United States	actress,_producer
Maureen McCormick	5	August	1956	Leo	United States	actress
Katharine McPhee	25	March	1984	Aries	United States	actress
Tatum O’Neal	5	November	1963	Scorpio	United States	actress
Bo Derek	20	November	1956	Scorpio	United States	actress
Katherine Waterston	3	March	1980	Pisces	England	actress
Vanessa Lynn Williams	18	March	1963	Pisces	United States	singer
Emmanuelle Chriqui	10	December	1977	Sagittarius	Canada	actress
Kelly McGillis	9	July	1957	Cancer	United States	actress
Shannen Doherty	12	April	1971	Aries	United States	actress
Asia Argento	20	September	1975	Virgo	Italy	actress
Debra Messing	15	August	1968	Leo	United States	actresses
Janet Leigh	6	July	1927	Cancer	U.S.	actress
Tia Carrere	2	January	1967	Capricorn	United States	actress
Pam Grier	26	May	1949	Gemini	United States	actress
Mélanie Laurent	21	February	1983	Pisces	France	actress
Torrey DeVitto	8	June	1984	Gemini	United States	actress
Urmila Matondkar	4	February	1974	Aquarius	India	actress
Son Ye-jin	11	January	1982	Capricorn	South Korea	actress
Eliza Taylor	24	October	1989	Scorpio	Australia	actress
Judy Greer	20	July	1975	Cancer	United States	actress,_model
Sadie Sink	16	April	2002	Aries	United States	actress
Megan Boone	29	April	1983	Taurus	United States	actress
Milana Vayntrub	8	March	1987	Pisces	Uzbekistan	actress
Carly Rae Jepsen	21	November	1985	Scorpio	Canada	singer,_songwriter
Jean Smart	13	September	1951	Virgo	United States	actress
Linda Kozlowski	7	January	1958	Capricorn	United States	actress
Mara Wilson	24	July	1987	Leo	United States	actress
Phoebe Tonkin	12	July	1989	Cancer	Australia	actress
Debbie Harry	1	July	1945	Cancer	United States	singer-songwriter_&amp;_actress
Gloria Estefan	1	September	1957	Virgo	Cuba	singer
Susan Hayward	30	June	1917	Cancer	United States	actress,_model
Edie Falco	5	July	1963	Cancer	United States	actress
Judith Sheindlin	21	October	1942	Libra	United States	tv_personality
Olivia Wilde	10	March	1984	Pisces	United States	actress
Bonnie Wright	17	February	1991	Aquarius	United Kingdom	actress
Francesca Eastwood	7	August	1993	Leo	United States	actress
Ali MacGraw	1	April	1939	Aries	United States	actress
Olivia Culpo	8	May	1992	Taurus	United States	social_media_personality
Maggie Grace	21	September	1983	Virgo	United States	actress
Dawn Wells	18	October	1938	Libra	United States	actress
Sue Perkins	22	September	1969	Virgo	England	comedian
Kirstie Alley	12	January	1951	Capricorn	United States	actress
Bernadette Peters	28	February	1948	Pisces	United States	actress
Vanessa Marcil	15	October	1968	Libra	United States	actress
Rachael Leigh Cook	4	October	1979	Libra	United States	actress
Hayley Mills	18	April	1946	Aries	United Kingdom	actress
Rebecca De Mornay	29	August	1959	Virgo	United States	actress
Mädchen Amick	12	December	1970	Sagittarius	United States	actress
Trisha Yearwood	19	September	1964	Virgo	United States	singer
Indira Varma	27	September	1973	Libra	England	actress
Amy Smart	26	March	1976	Aries	U.S.	actress
Marla Maples	27	October	1963	Scorpio	United States	actress
Cecily Strong	8	February	1984	Aquarius	United States	actress
Elizabeth Gillies	26	July	1993	Leo	U.S	actress_&amp;_singer
Pia Wurtzbach	24	September	1989	Libra	Germany	model,_actress
Rhea Perlman	31	March	1948	Aries	United States	actress
Jennifer Jones	2	March	1919	Pisces	U.S.	actress
Mandy Moore	10	April	1984	Aries	United States	singer
Tia Mowry	6	July	1978	Cancer	Germany	actress
Daniela Ruah	2	December	1983	Sagittarius	United States	actress
Doris Roberts	4	November	1925	Scorpio	United States	actress
Kate Capshaw	3	November	1953	Scorpio	United States	actress
Jena Malone	21	November	1984	Scorpio	United States	actress
Tatiana Maslany	22	September	1985	Virgo	Canada	actress
Soleil Moon Frye	6	August	1976	Leo	United States	actress,_director
Sherilyn Fenn	1	February	1965	Aquarius	United States	actress
Oona Chaplin	4	June	1986	Gemini	Spain	actress
Kristen Schaal	24	January	1978	Aquarius	United States	actress
Julia Garner	1	February	1994	Aquarius	United States	actress
Miranda Hart	14	December	1972	Sagittarius	United Kingdom	actress
Jun Ji-hyun	30	October	1981	Scorpio	South Korea	south_korean_actress
Sutton Foster	18	March	1975	Pisces	United States	actress,_singer
Kat Graham	5	September	1989	Virgo	Switzerland	actress
Claire Holt	11	June	1988	Gemini	Australia	actress
Brigette Lundy-Paine	10	August	1994	Leo	United States	actress
Ally Sheedy	13	June	1962	Gemini	United States	actress
Kareena Kapoor	21	September	1980	Virgo	India	actress
Ashanti	13	October	1980	Libra	United States	singer-songwriter,_actress
Virginia Madsen	11	September	1961	Virgo	United States	actress
Jeanne Tripplehorn	10	June	1963	Gemini	United States	actress
Gloria Swanson	27	March	1899	Aries	United States	actress
Marcheline Bertrand	9	May	1950	Taurus	United States	actress
Joanne Woodward	27	February	1930	Pisces	U.S.	actress
Lali Espósito	10	October	1991	Libra	Argentina	singer
Diana Ross	26	March	1944	Aries	United States	american_singer
Karen Allen	5	October	1951	Libra	United States	actress
Mia Farrow	9	February	1945	Aquarius	United States	actress,_human_rights_activist
Nicollette Sheridan	21	November	1963	Scorpio	England	actress
Kate Bosworth	2	January	1983	Capricorn	United States	actress,_model
Fan Bingbing	16	September	1981	Virgo	China	actress,_singer
Danielle Fishel	5	May	1981	Taurus	United States	actress,_television_personality
Aisling Bea	16	March	1984	Pisces	Ireland	comedian,_actress
Wanda Sykes	7	March	1964	Pisces	United States	actress
Frances Fisher	11	May	1952	Taurus	England	actress
Blythe Danner	3	February	1943	Aquarius	United States	actress
Lisa Robin Kelly	5	March	1970	Pisces	United States	actress
Brianna Hildebrand	14	August	1996	Leo	United States	actress
Maura Tierney	3	February	1965	Aquarius	United States	actress
Mireille Enos	22	September	1975	Virgo	United States	actress
Lorraine Bracco	2	October	1954	Libra	United States	actress
Zhang Ziyi	9	February	1979	Aquarius	China	actress
Hannah Simone	3	August	1980	Leo	England	actress
Cherry Jones	21	November	1956	Scorpio	United States	actress
Janeane Garofalo	28	September	1964	Libra	United States	american_actress
Roseanne Barr	3	November	1952	Scorpio	United States	actress
Song Ji-hyo	15	August	1981	Leo	South Korea	actress,_model
Diane Ladd	29	November	1935	Sagittarius	United States	actress
Noomi Rapace	28	December	1979	Capricorn	Sweden	actress
Tina Louise	11	February	1934	Aquarius	United States	author,_actress
Loni Anderson	5	August	1945	Leo	United States	actress
Frances McDormand	23	June	1957	Cancer	United States	actress
Jerry Hall	2	July	1956	Cancer	United States	model,_actress
Charlotte Gainsbourg	21	July	1971	Cancer	England	actress
Kim So-hyun	4	June	1999	Gemini	Australia	actress
Nora Fatehi	6	February	1992	Aquarius	Canada	dancer_&amp;_model
Dilraba Dilmurat	3	June	1992	Gemini	China	actress
Emily Mortimer	6	October	1971	Libra	England	actress
Kelly Hu	13	February	1968	Aquarius	United States	actress
Park Min-young	4	March	1986	Pisces	South Korea	actress
Rosie Perez	6	September	1964	Virgo	United States	film_actress_&amp;_show_host
Jordin Sparks	22	December	1989	Capricorn	United States	singer-songwriter
Camilla Luddington	15	December	1983	Sagittarius	England	actress
Suzanne Pleshette	31	January	1937	Aquarius	United States	actress
Gugu Mbatha-Raw	21	April	1983	Taurus	United Kingdom	actress
Maryse Ouellet	21	January	1983	Aquarius	Canada	wrestler
Sara Gilbert	29	January	1975	Aquarius	United States	actress
Angelababy	28	February	1989	Pisces	China	model
Teri Garr	11	November	1947	Scorpio	United States	actress
Pam Dawber	18	October	1951	Libra	United States	actress
Whitney Houston	9	August	1963	Leo	United States	singer,_actress
Sophie Marceau	17	November	1966	Scorpio	France	actress
Stockard Channing	13	February	1944	Aquarius	United States	actress
A.J. Cook	22	July	1978	Cancer	Canada	actress
Rakul Preet Singh	10	October	1990	Libra	India	actress,_model
China Anne McClain	25	August	1998	Virgo	Georgia	actress,_singer
Julie Benz	1	May	1972	Taurus	United States	actress
Kristin Davis	24	February	1965	Pisces	U.S	actress
Kate Mulgrew	29	April	1955	Taurus	United States	actress
Cybill Lynne Shepherd	18	February	1950	Aquarius	United States	actress
Elizabeth Berkley	28	July	1972	Leo	United States	actress
Clara Bow	29	July	1905	Leo	United States	actress
Bianca Lawson	20	March	1979	Pisces	United States	actress
Arielle Kebbel	19	February	1985	Pisces	United States	actress
Marina Sirtis	9	March	1955	Pisces	England	actress
Beth Behrs	26	December	1985	Capricorn	United States	actress
Valerie Harper	22	August	1939	Leo	United States	actress
Coco Austin	17	March	1979	Pisces	U.S.	actress,_model
Connie Stevens	8	August	1938	Leo	United States	film_actress
Roselyn Sánchez	2	April	1973	Aries	Puerto Rico	actress
Mamie Gummer	3	August	1983	Leo	United States	actress
Mia Sara	19	June	1967	Gemini	United States	actress
Marie Avgeropoulos	17	June	1986	Gemini	Canada	actress,_model
Kimberly Williams Paisley	14	September	1971	Virgo	United States	actress
Missi Pyle	16	November	1972	Scorpio	United States	actress
Kim Novak	13	February	1933	Aquarius	United States	actress
Tatyana Ali	24	January	1979	Aquarius	United States	actress,_singer
Cara Delevingne	12	August	1992	Leo	United Kingdom	model,_actress
Maude Apatow	15	December	1997	Sagittarius	United States	actress
Jessica Rothe	28	May	1987	Gemini	United States	actress
Sandi Toksvig	3	May	1958	Taurus	Denmark	comedian,_writer
Greer Garson	29	September	1904	Libra	United Kingdom	actress
Elizabeth Perkins	18	November	1960	Scorpio	United States	actress
Camilla Belle	2	October	1986	Libra	United States	actress
Renee Elise Goldsberry	2	January	1971	Capricorn	United States	actress
Suranne Jones	27	August	1978	Virgo	England	actress
Brianne Howey	24	May	1989	Gemini	United States	actress
Charlotte Rampling	5	February	1946	Aquarius	England	actress
Issa Rae	12	January	1985	Capricorn	United States	actress
Jennie Garth	3	April	1972	Aries	United States	actress
Elle Macpherson	29	March	1964	Aries	Australia	model,_entrepreneur
Jean Seberg	13	November	1938	Scorpio	United States	actress
Archie Panjabi	31	May	1972	Gemini	United Kingdom	actress
Jane Lynch	14	July	1960	Cancer	U.S.	actress
Christian Serratos	21	September	1990	Virgo	United States	actress
Alexa Davalos	28	May	1982	Gemini	France	actress
Kate del Castillo	23	October	1972	Libra	Mexico	actress
Rhona Mitra	9	August	1976	Leo	United Kingdom	actress
Chanel West Coast	1	September	1988	Virgo	United States	rapper
Devon Aoki	10	August	1982	Leo	United States	actress,_model
Brittany Daniel	17	March	1976	Pisces	United States	actress
Radha Mitchell	12	November	1973	Scorpio	Australia	actress,_producer
Marlee Matlin	24	August	1965	Virgo	U.S.	actress
Liu Yifei	25	August	1987	Virgo	China	actress
Drea de Matteo	19	January	1972	Capricorn	United States	actress
Claudette Colbert	13	September	1903	Virgo	France	actress
Cynthia Nixon	9	April	1966	Aries	United States	actress
Jessica Walter	31	January	1941	Aquarius	United States	actress
Sarah Roemer	28	August	1984	Virgo	United States	actress
Melissa Hart	18	April	1976	Aries	United States	actress
Liza Soberano	4	January	1998	Capricorn	United States	actress
Mena Suvari	13	February	1979	Aquarius	United States	actress,_fashion_designer
Kim Tae-hee	29	March	1980	Aries	South Korea	south_korean_actress
Phillipa Soo	31	May	1990	Gemini	United States	actress
Alex Borstein	15	February	1973	Aquarius	United States	actress
Cara Buono	1	March	1974	Pisces	United States	actress
Ella Balinska	4	October	1996	Libra	England	actress
Odette Annable	10	May	1985	Taurus	United States	actress,_model
Olivia Newton-John	26	September	1948	Libra	England	singer-songwriter
Erika Eleniak	29	September	1969	Libra	United States	actress
Katy Mixon	30	March	1981	Aries	United States	actress
Carey Lowell	11	February	1961	Aquarius	United States	actress
Kim Go-eun	2	July	1991	Cancer	South Korea	south_korean_actress
Lake Bell	24	March	1979	Aries	United States	actress
Gemma Atkinson	16	November	1984	Scorpio	England	actress
Bonnie Bedelia	25	March	1948	Aries	United States	actress
Natasha Henstridge	15	August	1974	Leo	Canada	actress,_model
Tamsin Egerton	26	November	1988	Sagittarius	United Kingdom	actress
Caity Lotz	30	December	1986	Capricorn	United States	actress,_singer
Tika Sumpter	20	June	1980	Gemini	United States	actress
Alex Kingston	11	March	1963	Pisces	England	actress
Gabourey Sidibe	6	May	1983	Taurus	United States	actress
Mary-Kate Olsen	13	June	1986	Gemini	United States	actress,_fashion_designer
Yami Gautam	28	November	1988	Sagittarius	India	actress
Saffron Burrows	22	October	1972	Libra	England	actress
Adelaide Kane	9	August	1990	Leo	Australia	actress
Sasha Pieterse	17	February	1996	Aquarius	South Africa	actress,_singer
Úrsula Corberó	11	August	1989	Leo	Spain	actress
Kate Jackson	29	October	1948	Scorpio	United States	actress
Crystal Reed	6	February	1985	Aquarius	United States	actress
Sosie Bacon	15	March	1992	Pisces	United States	actress
Carol Kane	18	June	1952	Gemini	United States	actress
Jill Wagner	13	January	1979	Capricorn	United States	actress
Eva Marie	19	September	1984	Virgo	United States	actress,_professional_wrestler
Barbara Hershey	5	February	1948	Aquarius	United States	actress
Lorna Luft	21	November	1952	Scorpio	United States	actresses
Elsa Pataky	18	July	1976	Cancer	Spain	model,_actress
Claudia Schiffer	25	August	1970	Virgo	Germany	model
Rose McIver	10	October	1988	Libra	New Zealand	actress
Wendie Malick	13	December	1950	Sagittarius	United States	actress
Gene Tierney	19	November	1920	Scorpio	United States	actress
Loretta Swit	4	November	1937	Scorpio	United States	actress
Jenna Ortega	27	September	2002	Libra	United States	actress
Lee Sung-kyung	10	August	1990	Leo	South Korea	actress,_model
Ricki Lake	21	September	1968	Virgo	United States	actress
Bridgette Wilson	25	September	1973	Libra	United States	actress,_model,_singer
Maia Mitchell	18	August	1993	Leo	Australia	actress,_singer
Amber Heard	22	April	1986	Taurus	United States	actress
Debi Mazar	13	August	1964	Leo	United States	actress
Alessandra Ambrosio	11	April	1981	Aries	Brazil	model
Thora Birch	11	March	1982	Pisces	United States	actress
Alexis Knapp	31	July	1989	Leo	United States	actress
Geraldine Chaplin	31	July	1944	Leo	United States	actress
Holly Marie Combs	3	December	1973	Sagittarius	United States	actress
Nora Lum	14	December	1988	Sagittarius	United States	rapper
Sulli	29	March	1994	Aries	South Korea	actress,_singer
Lisa Edelstein	21	May	1966	Gemini	United States	actress
Sandara Park	12	November	1984	Scorpio	South Korea	south_korean_singer_&amp;_actress
Dianne Wiest	28	March	1948	Aries	United States	actress
Song Hye-kyo	22	November	1981	Sagittarius	South Korea	actress
Rebecca Schaeffer	6	November	1967	Scorpio	United States	actress_&amp;_model
Alison Eastwood	22	May	1972	Gemini	United States	actress
Joanne Whalley	25	August	1961	Virgo	England	actress
Sandra Dee	23	April	1942	Taurus	United States	film_actress
Kelly Osbourne	27	October	1984	Scorpio	United Kingdom	television_personality
Cilla Black	27	May	1943	Gemini	England	singer
Demi Lovato	20	August	1992	Leo	United States	singer,_songwriter,_actress
Park Bo-young	12	February	1990	Aquarius	South Korea	south_korean_actress
Carolyn Jones	8	April	1930	Aries	United States	actress
Catherine Deneuve	22	October	1943	Libra	France	actress
Annabella Sciorra	29	March	1960	Aries	United States	actress
Felicia Day	28	June	1979	Cancer	United States	actress
Gigi Hadid	23	April	1995	Taurus	United States	model
Jessie Buckley	28	December	1989	Capricorn	Ireland	actress
Nancy McKeon	4	April	1966	Aries	United States	actress
Samantha Mathis	12	May	1970	Taurus	United States	actress
Phoebe Dynevor	17	April	1995	Aries	United Kingdom	actress
Chrishell Stause	21	July	1981	Cancer	United States	actress
Cindy Williams	22	August	1947	Leo	United States	actress
Kristy McNichol	11	September	1962	Virgo	United States	actress
Moira Kelly	6	March	1968	Pisces	United States	actress
Laura San Giacomo	14	November	1962	Scorpio	United States	actress
Eva Amurri	15	March	1985	Pisces	United States	film_actress
